dataset	silhouette_score	calinski_harabasz_score	davies_bouldin_score	SSE	nSSE	ARI	MIS	v_measure	n_clusters	init	max_iter	n_init	algorithm
banana	0.34290517	17623.3745	0.833431352	2.311603246	0.000240241	-6.57E-05	-0.000162126	0.001898578	48	k-means++	300	10	auto
banana	0.332149369	17614.56037	0.832656494	2.363323441	0.000245617	-4.16E-05	-6.33E-05	0.002026142	47	k-means++	300	10	auto
banana	0.429112171	17582.90307	0.719676703	4.18712495	0.000435162	-5.25E-05	-2.26E-06	0.001366362	27	k-means++	300	10	auto
banana	0.370059153	17568.39488	0.811129746	2.422323673	0.000251748	-7.17E-05	-0.000108912	0.001927153	46	k-means++	300	10	auto
banana	0.431065519	17561.08172	0.711697713	4.359463035	0.000453072	-0.000120747	-8.06E-05	0.001192568	26	k-means++	300	10	auto
banana	0.431463572	17343.63533	0.705824332	4.595862924	0.000477641	-0.000114657	-0.000114854	0.001094841	25	k-means++	300	10	auto
banana	0.327547764	17217.07483	0.876674637	1.882161967	0.00019561	-9.39E-05	-0.000239841	0.002197973	60	k-means++	300	10	auto
banana	0.422084382	17156.33752	0.690849003	4.846005933	0.000503638	-9.70E-05	-5.35E-05	0.001158031	24	k-means++	300	10	auto
banana	0.337342393	16909.64522	0.867005445	1.636195057	0.000170047	-5.54E-05	-0.000315116	0.002416389	70	k-means++	300	10	auto
banana	0.445430909	16879.27849	0.674090637	5.146763444	0.000534895	-0.000103187	3.14E-05	0.00125873	23	k-means++	300	10	auto
banana	0.447637946	16832.69959	0.671940731	5.404324492	0.000561663	-9.28E-05	6.38E-05	0.001267504	22	k-means++	300	10	auto
